,CO_PPM,humidity,temperature,timestamp
231,4.39288,79.0,25.1,1645979816.0
232,4.23514,79.0,25.1,1645979826.0
233,4.0831,79.0,25.1,1645979836.0
234,4.23514,79.0,25.1,1645979846.0
235,4.24329,79.0,25.1,1645979856.0
236,4.227,79.0,25.1,1645979866.0
237,4.17847,79.0,25.1,1645979876.0
238,4.18652,79.0,25.1,1645979886.0
239,4.11464,79.0,25.0,1645979896.0
240,4.10674,79.0,25.0,1645979906.0
241,4.16242,78.0,25.0,1645979916.0
242,4.14643,78.0,25.0,1645979926.0
243,4.17044,78.0,24.9,1645979936.0
244,4.13846,78.0,24.9,1645979946.0
245,4.04401,78.0,24.9,1645979956.0
246,4.15442,78.0,24.9,1645979966.0
247,4.14643,78.0,24.8,1645979976.0
248,4.15442,78.0,24.8,1645979986.0
249,4.09884,77.0,24.8,1645979996.0
250,4.14643,77.0,24.8,1645980006.0
251,4.04401,77.0,24.8,1645980016.0
252,4.15442,77.0,24.8,1645980026.0
253,4.17044,77.0,24.8,1645980036.0
254,4.13051,77.0,24.8,1645980046.0
255,4.13846,77.0,24.8,1645980056.0
256,4.13051,77.0,24.8,1645980066.0
257,4.21076,77.0,24.8,1645980076.0
258,4.12257,77.0,24.8,1645980085.0
259,4.09884,77.0,24.8,1645980095.0
260,4.14643,77.0,24.8,1645980105.0
261,4.12257,77.0,24.8,1645980115.0
262,4.12257,77.0,24.8,1645980125.0
263,4.12257,77.0,24.8,1645980135.0
264,4.02074,77.0,24.8,1645980146.0
265,4.10674,77.0,24.8,1645980156.0
266,4.10674,77.0,24.8,1645980166.0
267,4.09884,77.0,24.8,1645980176.0
268,4.09884,77.0,24.8,1645980186.0
269,4.09884,77.0,24.8,1645980196.0
270,3.98992,77.0,24.8,1645980206.0
271,4.0831,77.0,24.8,1645980215.0
272,4.11464,77.0,24.8,1645980225.0
273,4.10674,77.0,24.8,1645980235.0
274,4.07525,77.0,24.8,1645980245.0
275,4.07525,76.0,24.8,1645980255.0
276,4.0831,76.0,24.8,1645980265.0
277,3.65208,76.0,24.8,1645980276.0
278,4.09884,76.0,24.8,1645980286.0
279,4.0831,76.0,24.8,1645980296.0
280,4.0831,76.0,24.7,1645980306.0
281,4.06742,76.0,24.7,1645980316.0
282,4.06742,76.0,24.7,1645980326.0
283,3.93655,76.0,24.7,1645980336.0
284,4.06742,76.0,24.6,1645980345.0
285,4.07525,76.0,24.6,1645980355.0
286,4.06742,76.0,24.6,1645980365.0
287,4.02848,76.0,24.6,1645980375.0
288,4.0518,76.0,24.5,1645980385.0
289,4.03624,76.0,24.5,1645980395.0
290,3.90638,74.0,24.5,1645980408.0
291,4.0596,74.0,24.5,1645980415.0
292,4.0518,76.0,24.4,1645980425.0
293,4.0518,76.0,24.4,1645980435.0
294,4.0518,76.0,24.4,1645980445.0
295,4.03624,76.0,24.4,1645980455.0
296,4.02848,74.0,24.4,1645980465.0
297,3.95173,74.0,24.4,1645980476.0
298,4.02074,74.0,24.4,1645980486.0
299,3.98992,74.0,24.4,1645980496.0
300,3.98992,74.0,24.4,1645980506.0
301,3.9746,74.0,24.4,1645980516.0
302,3.9746,74.0,24.4,1645980526.0
303,3.58942,74.0,24.4,1645980536.0
304,3.98992,74.0,24.4,1645980546.0
305,3.9746,74.0,24.4,1645980556.0
306,3.9746,74.0,24.4,1645980566.0
307,3.98992,74.0,24.4,1645980576.0
308,3.9746,74.0,24.4,1645980586.0
309,3.8246,74.0,24.4,1645980596.0
310,3.98225,74.0,24.4,1645980606.0
311,3.98992,74.0,24.4,1645980616.0
312,3.8839,74.0,24.4,1645980626.0
313,3.9746,74.0,24.4,1645980636.0
314,4.0053,76.0,24.4,1645980646.0
315,3.83196,76.0,24.4,1645980656.0
316,3.94413,76.0,24.4,1645980666.0
317,3.92144,76.0,24.4,1645980676.0
318,3.98992,76.0,24.4,1645980686.0
319,3.98992,76.0,24.4,1645980696.0
320,3.98225,76.0,24.4,1645980706.0
321,3.90638,76.0,24.4,1645980717.0
322,3.9746,76.0,24.3,1645980725.0
323,3.98992,76.0,24.3,1645980735.0
324,3.94413,76.0,24.3,1645980745.0
325,3.98225,76.0,24.3,1645980755.0
326,3.9976000000000003,76.0,24.3,1645980765.0
327,3.98225,76.0,24.3,1645980775.0
328,3.83196,76.0,24.3,1645980786.0
329,3.9976000000000003,76.0,24.3,1645980795.0
330,3.9746,76.0,24.3,1645980805.0
331,3.9746,76.0,24.3,1645980815.0
332,3.9669600000000003,76.0,24.3,1645980825.0
333,3.94413,76.0,24.3,1645980835.0
334,3.94413,76.0,24.3,1645980845.0
335,3.83196,76.0,24.3,1645980856.0
336,3.95934,76.0,24.3,1645980866.0
337,3.98992,76.0,24.3,1645980876.0
338,3.95934,76.0,24.3,1645980886.0
339,3.95934,76.0,24.3,1645980896.0
340,3.98225,74.0,24.3,1645980906.0
341,3.86156,74.0,24.3,1645980916.0
342,4.02074,74.0,24.2,1645980926.0
343,3.98992,74.0,24.2,1645980936.0
344,3.98992,74.0,24.2,1645980946.0
345,4.01301,74.0,24.2,1645980956.0
346,3.98992,74.0,24.2,1645980966.0
347,3.8246,74.0,24.2,1645980976.0
348,3.98992,74.0,24.2,1645980986.0
349,3.9976000000000003,74.0,24.2,1645980996.0
350,4.0053,74.0,24.2,1645981006.0
351,4.02848,74.0,24.2,1645981016.0
352,4.0053,74.0,24.2,1645981026.0
353,3.8246,74.0,24.2,1645981039.0
354,3.98992,74.0,24.2,1645981049.0
355,4.0053,74.0,24.2,1645981059.0
356,4.02074,74.0,24.1,1645981069.0
357,4.02074,74.0,24.1,1645981079.0
358,3.98992,74.0,24.1,1645981089.0
359,3.83196,74.0,24.1,1645981100.0
360,4.01301,74.0,24.1,1645981108.0
361,3.98992,74.0,24.1,1645981118.0
362,3.9746,74.0,24.1,1645981128.0
363,3.98992,74.0,24.1,1645981138.0
364,3.98225,74.0,24.1,1645981148.0
365,3.95173,74.0,24.1,1645981158.0
366,3.90638,74.0,24.1,1645981169.0
367,3.92899,74.0,24.1,1645981179.0
368,3.94413,74.0,24.1,1645981189.0
369,3.95934,74.0,24.1,1645981199.0
370,3.95934,74.0,24.1,1645981209.0
371,3.94413,74.0,24.1,1645981219.0
372,3.79529,74.0,24.0,1645981232.0
373,3.92144,74.0,24.0,1645981238.0
374,3.9139,74.0,24.0,1645981248.0
375,3.89138,74.0,24.0,1645981258.0
376,3.92144,74.0,24.0,1645981268.0
377,3.90638,74.0,24.0,1645981278.0
378,3.8839,74.0,24.0,1645981288.0
379,3.77346,74.0,24.0,1645981300.0
380,3.90638,74.0,24.0,1645981308.0
381,3.90638,74.0,24.0,1645981318.0
382,3.89887,74.0,24.0,1645981328.0
383,3.90638,74.0,24.0,1645981338.0
384,3.87644,74.0,24.0,1645981348.0
385,3.89887,74.0,24.0,1645981358.0
386,3.74454,74.0,24.0,1645981371.0
387,3.87644,74.0,24.0,1645981378.0
388,3.86156,74.0,24.0,1645981388.0
389,3.86156,74.0,24.0,1645981398.0
390,3.83196,74.0,24.0,1645981408.0
391,3.84673,74.0,24.0,1645981418.0
392,3.7880000000000003,74.0,23.9,1645981428.0
393,3.78072,74.0,23.9,1645981440.0
394,3.83196,74.0,23.9,1645981448.0
395,3.8246,74.0,23.9,1645981458.0
396,3.83934,74.0,23.9,1645981468.0
397,3.83934,74.0,23.9,1645981478.0
398,3.83934,74.0,23.9,1645981488.0
399,3.84673,74.0,23.9,1645981498.0
400,3.7662,74.0,23.9,1645981509.0
401,3.80991,74.0,23.9,1645981519.0
402,3.8026,74.0,23.9,1645981529.0
403,3.8026,74.0,23.9,1645981539.0
404,3.8026,74.0,23.9,1645981549.0
405,3.80991,74.0,23.9,1645981559.0
406,3.67321,74.0,23.9,1645981570.0
407,3.78072,74.0,23.9,1645981578.0
408,3.8026,74.0,23.8,1645981588.0
409,3.79529,74.0,23.8,1645981598.0
410,3.80991,74.0,23.9,1645981608.0
411,3.7880000000000003,74.0,23.8,1645981618.0
412,3.7880000000000003,74.0,23.8,1645981628.0
413,3.7087,74.0,23.8,1645981641.0
414,3.75174,74.0,23.8,1645981648.0
415,3.7662,74.0,23.8,1645981658.0
416,3.74454,74.0,23.8,1645981668.0
417,3.74454,74.0,23.8,1645981678.0
418,3.7662,74.0,23.8,1645981688.0
419,3.75174,74.0,23.8,1645981698.0
420,3.59633,74.0,23.8,1645981709.0
421,3.75174,74.0,23.8,1645981719.0
422,3.73016,74.0,23.8,1645981729.0
423,3.7229900000000002,74.0,23.7,1645981739.0
424,3.73734,74.0,23.7,1645981749.0
