,CO_PPM,humidity,temperature,timestamp
-MvcXEKODO3P05CYqvyc,4.57131,38.0,22.1,1644578796.0
-MvcXGlz31sS8wE6hF2h,4.62454,38.0,22.1,1644578806.0
-MvcXJD38VDoLbiKkuDM,4.61562,38.0,22.0,1644578816.0
-MvcXLxBppXdQ9E7moK9,4.42382,38.0,22.0,1644578826.0
-MvcXO5hrxpYc8UERdtc,4.62454,38.0,22.1,1644578836.0
-MvcXQXvtbW614UwBdFn,4.6334800000000005,38.0,22.1,1644578846.0
-MvcXSz7Zcymi3-6nsLv,4.51869,38.0,22.0,1644578856.0
-MvcXVQKJk4xcAUDb4SV,4.60673,38.0,22.1,1644578866.0
-MvcXXraYJCypOLL2WfB,4.57131,38.0,22.1,1644578876.0
-MvcX_LMtLgW8n9VN_uO,4.42382,38.0,22.0,1644578886.0
-MvcXbkDw6mj8yMwGZEH,4.6334800000000005,38.0,22.1,1644578896.0
-MvcXeBQ16N13kzVyco5,4.59785,38.0,22.1,1644578906.0
-MvcXgcb0h5AHoRY3YJf,4.58898,38.0,22.1,1644578916.0
-MvcXj4HKVF2DJ6ABnry,4.6334800000000005,38.0,22.1,1644578926.0
-MvcXlWGEv_wxl5xbUIx,4.60673,38.0,22.1,1644578936.0
-MvcXo2AqKtCBGcSfeSZ,4.57131,38.0,22.1,1644578946.0
-MvcXqOnYJjca_i4Tz8f,4.68745,38.0,22.1,1644578956.0
-MvcXspuJRPfaoWyfVRv,4.66038,38.0,22.1,1644578966.0
-MvcXvH9SNZU0bPqG9nu,4.68745,38.0,22.1,1644578976.0
-MvcXxiXlnRPtQFNY8po,4.6965,38.0,22.1,1644578986.0
-MvcY-9ekVvV06ELcwux,4.66939,38.0,22.1,1644578996.0
-MvcY1uZ2iWSn75thkUY,4.44949,38.0,22.1,1644579006.0
-MvcY42HU1xMNG3JFRBw,4.68745,38.0,22.1,1644579016.0
-MvcY6UTCgUe9UEyvU_c,4.67841,38.0,22.1,1644579026.0
-MvcY8vi3gL8Jh8-B7kS,4.67841,38.0,22.1,1644579036.0
-MvcYBN3W2tREh--EOw7,4.6334800000000005,38.0,22.1,1644579046.0
-MvcYDoFNgZDF4QkrLUY,4.66939,38.0,22.1,1644579056.0
-MvcYGI15OBhrhXAhzza,4.28942,38.0,22.2,1644579066.0
-MvcYIgxAf9uaGcbTK57,4.70558,38.0,22.1,1644579076.0
-MvcYL8K199NO7PHKkT5,4.6965,38.0,22.2,1644579086.0
-MvcYN_IJ4hWelaq41uf,4.6965,38.0,22.2,1644579096.0
-MvcYQ0_EgjUg834VQkQ,4.66038,38.0,22.2,1644579106.0
-MvcYSSs0jz459CiRWuY,4.68745,38.0,22.2,1644579116.0
-MvcYUzuDQFYq1lsdIG1,4.47531,38.0,22.2,1644579126.0
-MvcYXLJpaEtefny6-oM,4.6965,38.0,22.2,1644579136.0
-MvcYZmb2g6QlJBrxlLj,4.70558,38.0,22.1,1644579146.0
-MvcYbDw3UaxCK4B9lZc,4.68745,38.0,22.1,1644579156.0
-MvcYdfKrlIJx-b--2SY,4.6965,38.0,22.2,1644579166.0
-MvcYg6S2qGIe-L6wFa-,4.6965,38.0,22.1,1644579176.0
-MvcYiq_dA41KBXuFNA1,4.48396,38.0,22.1,1644579186.0
-MvcYkzvTzWfrug2B0mZ,4.71467,38.0,22.2,1644579196.0
-MvcYnR8wJIUykyxBzZl,4.70558,38.0,22.2,1644579206.0
-MvcYpsQCWCJSUXGdoeF,4.6965,38.0,22.2,1644579216.0
-MvcYsJi5A0KfRKrtaZ3,6.69466,38.0,22.2,1644579226.0
-MvcYwnZAIr0v8ZyT_YU,3.8613600000000003,38.0,22.2,1644579244.0
-MvcYyvyojd1rsv7pN28,4.02051,38.0,22.0,1644579253.0
-MvcZ0NCZUIjb_1FiYuv,3.83177,38.0,22.0,1644579263.0
-MvcZ2oSxQlbkW8-RA3E,3.4405900000000003,38.0,21.8,1644579273.0
-MvcZ5FjTvt5bCvbisrY,3.93634,38.0,21.7,1644579283.0
-MvcZ7h6KDwox5Eryq_p,4.20239,38.0,21.6,1644579293.0
-MvcZA8D3yt0sWIzoOG-,4.3841,39.0,21.5,1644579303.0
-MvcZCbwNKAMbNEPN9Fv,4.08286,39.0,21.4,1644579313.0
-MvcZF0mre45UT_289JY,4.26757,39.0,21.4,1644579323.0
-MvcZHT3-icpCSh361f2,4.93048,39.0,21.3,1644579333.0
-MvcZJuJuAZvtw9Lt0oz,4.50384,39.0,21.3,1644579343.0
-MvcZMLZQdKriV70AtEv,4.48653,39.0,21.2,1644579353.0
-MvcZOn9PBmB5-EcGI9A,4.4693,39.0,21.1,1644579363.0
-MvcZRIY85F6IHn_SQcw,3.75157,39.0,21.1,1644579374.0
-MvcZTfZI3z0lGrloJFl,4.20239,39.0,21.1,1644579383.0
-MvcZW6g4509xj7_zp91,4.24301,39.0,21.0,1644579393.0
-MvcZYYuwjLN4U7QB-SB,4.20239,39.0,21.0,1644579403.0
-MvcZa-O-R5hF1Y0Qya7,4.20239,39.0,21.0,1644579413.0
-MvcZcRTqT3LYxbgX4ob,3.92878,40.0,20.9,1644579423.0
-MvcZf6jbKwF16UpfHyp,3.85394,40.0,20.9,1644579433.0
-MvcZhOXdTNXj-mdP6_-,3.92123,40.0,20.9,1644579443.0
-MvcZjlB7jbhveoqt9oM,4.17821,40.0,20.8,1644579453.0
-MvcZmCVePAjf3oFiCUE,4.05936,40.0,20.8,1644579463.0
-MvcZodmIgIvPxrpZy0h,3.9897,40.0,20.8,1644579473.0
-MvcZr4x2mHA9tVNm-x-,3.8911800000000003,41.0,20.7,1644579483.0
-MvcZtXHtu3VYMbRZ97J,3.77327,41.0,20.7,1644579493.0
-MvcZwJiZ7nAFbZgZz3d,3.96674,41.0,20.7,1644579505.0
-MvcZyPkAlcy6ZU8Sffm,4.18625,41.0,20.7,1644579513.0
-Mvc_-r1NZX2AXSbogya,4.20239,41.0,20.6,1644579523.0
-Mvc_2IJ1TvUVSWHO7wJ,4.33378,41.0,20.6,1644579533.0
-Mvc_4jYD985VBCRRNoz,4.37567,41.0,20.6,1644579543.0
